unit_type,product_category,raw_material,investment_lakhs_min,investment_lakhs_max,capacity_per_day_kg,workers_required,power_kw,water_requirement,land_sqft,machinery,licenses
Rice Mill,Grain Processing,Rice,5,15,5000,8,50,Medium,3000,"De-stoner;Paddy Separator;Rice Polisher;Grader","FSSAI;State Pollution Board;Factory License"
Rice Flour Unit,Grain Processing,Rice,3,8,1000,5,20,Low,1500,"Pulverizer;Sieving Machine;Packaging Machine","FSSAI;MSME Registration"
Puffed Rice Unit,Grain Processing,Rice,2,5,500,4,15,Low,1000,"Sand Roasting Machine;Puffing Machine;Sieving Machine","FSSAI;MSME Registration"
Wheat Flour Mill,Grain Processing,Wheat,5,12,3000,6,40,Low,2500,"Wheat Cleaner;Roller Mill;Purifier;Packaging","FSSAI;BIS License"
Bread Bakery,Bakery,Wheat,8,20,2000,10,30,Medium,2000,"Dough Mixer;Oven;Bread Slicer;Packaging Machine","FSSAI;Factory License"
Biscuit Factory,Bakery,Wheat,15,40,5000,20,80,Medium,5000,"Mixer;Moulding Machine;Oven;Packaging Line","FSSAI;BIS;Factory License"
Pasta Unit,Grain Processing,Wheat,10,25,2000,8,40,Medium,3000,"Pasta Extruder;Dryer;Packaging Machine","FSSAI;MSME Registration"
Noodles Unit,Grain Processing,Wheat,8,20,3000,10,35,Medium,2500,"Noodle Machine;Steamer;Dryer;Packaging","FSSAI;MSME Registration"
Maize Starch Unit,Grain Processing,Maize,15,35,3000,12,60,High,4000,"Steeping Tanks;Mill;Centrifuge;Dryer","FSSAI;Factory License;State PCB"
Cornflakes Unit,Cereal,Maize,10,25,1000,8,40,Medium,3000,"Flaking Machine;Toaster;Coating Machine;Packaging","FSSAI;BIS"
Potato Chips Unit,Snacks,Potato,5,15,2000,10,30,Medium,2000,"Slicer;Fryer;Seasoning Machine;Packaging","FSSAI;MSME Registration"
Potato Starch Unit,Starch,Potato,8,20,3000,8,40,High,3000,"Washer;Rasper;Centrifuge;Dryer","FSSAI;Factory License"
French Fries Unit,Frozen Food,Potato,15,35,2000,12,50,Medium,3500,"Peeler;Slicer;Blancher;Fryer;Freezer","FSSAI;Cold Storage License"
Tomato Ketchup Unit,Sauce,Tomato,5,12,1000,6,20,Medium,2000,"Pulper;Cooker;Filling Machine;Labelling","FSSAI;MSME Registration"
Tomato Paste Unit,Sauce,Tomato,8,18,2000,8,30,Medium,2500,"Pulper;Evaporator;Filling Machine","FSSAI;Factory License"
Onion Dehydration Unit,Preserved,Onion,5,12,2000,8,25,Low,2000,"Slicer;Dehydrator;Grinder;Packaging","FSSAI;APEDA Registration"
Chili Powder Unit,Spice Processing,Chili,3,8,1000,5,15,Low,1500,"Roaster;Pulverizer;Sieving;Packaging","FSSAI;Spices Board"
Turmeric Powder Unit,Spice Processing,Turmeric,3,8,1500,6,18,Low,1500,"Boiling Drum;Dryer;Pulverizer;Packaging","FSSAI;Spices Board"
Curcumin Extraction Unit,Pharma,Turmeric,20,50,500,10,40,Medium,3000,"Extraction Unit;Evaporator;Crystallizer;Dryer","FSSAI;Drug License;Export License"
Ginger Processing Unit,Spice Processing,Ginger,4,10,1000,6,18,Low,1500,"Washer;Slicer;Dryer;Grinder;Packaging","FSSAI;Spices Board"
Garlic Processing Unit,Spice Processing,Garlic,3,8,800,5,15,Low,1200,"Peeler;Slicer;Dryer;Grinder;Packaging","FSSAI;MSME Registration"
Oil Extraction Unit,Oil Extraction,Multiple,8,20,1000,6,30,Low,2500,"Expeller;Filter Press;Refining Unit","FSSAI;BIS;AGMARK"
Cold Press Oil Unit,Oil Extraction,Multiple,5,15,500,4,20,Low,1500,"Wood Press/Cold Press;Filter;Packaging","FSSAI;Organic Certification"
Paneer Making Unit,Dairy,Milk,3,8,500,4,10,Medium,1000,"Pasteurizer;Paneer Vat;Pressing Machine;Cold Room","FSSAI;Dairy License"
Ghee Making Unit,Dairy,Milk,5,12,1000,5,15,Low,1500,"Cream Separator;Butter Churner;Ghee Kettle","FSSAI;AGMARK"
Milk Processing Plant,Dairy,Milk,20,60,10000,25,100,High,8000,"Pasteurizer;Homogenizer;Packaging Line;Cold Storage","FSSAI;Dairy License;Factory License"
Ice Cream Unit,Dairy,Milk,10,30,2000,10,40,Medium,3000,"Pasteurizer;Homogenizer;Freezer;Filling Machine","FSSAI;Factory License"
Cheese Making Unit,Dairy,Milk,8,20,500,6,20,Medium,2000,"Pasteurizer;Cheese Vat;Press;Aging Room","FSSAI;Dairy License"
Yogurt Unit,Dairy,Milk,5,15,2000,6,20,Medium,1500,"Pasteurizer;Incubator;Filling Machine;Cold Room","FSSAI;Dairy License"
Banana Chips Unit,Snacks,Banana,3,8,500,5,15,Low,1000,"Slicer;Fryer;Seasoning Unit;Packaging","FSSAI;MSME Registration"
Mango Pulp Unit,Processing,Mango,8,18,2000,8,25,Medium,2500,"Washer;Pulper;Pasteurizer;Filling Machine","FSSAI;Export License"
Pickle Making Unit,Preserved,Multiple,2,6,500,4,8,Low,800,"Cutting Machine;Mixing Tank;Filling Machine","FSSAI;MSME Registration"
Fruit Juice Unit,Beverages,Multiple,8,20,2000,8,30,Medium,2500,"Washer;Pulper;Pasteurizer;Filling Line","FSSAI;BIS;Factory License"
Sugar Mill,Processing,Sugarcane,100,500,50000,100,500,High,20000,"Crusher;Boiler;Centrifuge;Dryer","FSSAI;State PCB;Factory License"
Jaggery Unit,Processing,Sugarcane,3,8,2000,6,15,Medium,1500,"Crusher;Boiling Pan;Moulds","FSSAI;MSME Registration"
Cotton Ginning Unit,Textile,Cotton,15,40,5000,15,60,Low,5000,"Ginning Machine;Pressing Machine;Baling","Factory License;State PCB"
Honey Processing Unit,Processing,Honey,3,8,500,4,10,Low,1000,"Extractor;Filter;Pasteurizer;Filling Machine","FSSAI;MSME Registration"
Mushroom Farm,Cultivation,Mushroom,2,5,100,3,5,Medium,500,"Sterilization Unit;Growing Trays;Humidifier","FSSAI;MSME Registration"
Aloe Vera Processing,Cosmetic,Aloe Vera,5,12,1000,6,15,Low,1500,"Leaf Processor;Gel Extractor;Pasteurizer;Filling","FSSAI;Cosmetic License"
Cashew Processing Unit,Nut Processing,Cashew,8,20,1000,15,20,Low,2000,"Steamer;Shelling Machine;Peeling;Grading;Packing","FSSAI;MSME Registration"
Vermicompost Unit,Organic,Multiple,1,3,500,3,2,Medium,2000,"Vermibed Setup;Sieving Machine;Packaging","Organic Certification"
Seed Processing Unit,Agriculture,Multiple,5,15,2000,6,20,Low,2000,"Seed Cleaner;Grader;Treater;Packaging","Seed License;FSSAI"
Spice Blending Unit,Spice Processing,Multiple,5,12,1000,6,15,Low,1500,"Blender;Pulverizer;Packaging Machine","FSSAI;Spices Board"
Herbal Products Unit,Pharma,Multiple,8,20,500,8,20,Low,2000,"Extraction Unit;Dryer;Mixing;Packaging","Drug License;FSSAI;GMP"
Cold Storage Facility,Service,Multiple,15,50,50000,10,100,Medium,5000,"Compressor;Evaporator;Control Panel;Racks","FSSAI;Factory License"
Packaging Unit,Service,Multiple,5,15,5000,8,20,Low,2000,"Packaging Machines;Sealing;Labelling;Wrapping","MSME Registration"
Organic Certification,Service,Multiple,2,5,0,2,2,Low,200,"Testing Equipment;Documentation System","Organic Certification Body"
Agritourism Center,Service,Multiple,10,30,0,10,20,Medium,10000,"Farm Setup;Guest Facilities;Equipment","State Tourism License;FSSAI"
Biogas Plant,Energy,Multiple,3,10,0,3,5,Medium,2000,"Digester;Gas Holder;Generator","State PCB;MNRE"
Essential Oil Unit,Cosmetic,Flowers,5,15,200,5,15,Medium,1500,"Distillation Unit;Separator;Storage Tanks","FSSAI;Cosmetic License"
Rose Water Unit,Cosmetic,Rose,3,8,500,4,10,Medium,1000,"Distillation Unit;Filtering;Filling Machine","FSSAI;Cosmetic License"
Bamboo Products Unit,Handicraft,Bamboo,3,8,200,6,10,Low,1500,"Cutting Machine;Splitter;Treatment Tank","MSME Registration;Forest Dept"
Fish Processing Unit,Processing,Fish,15,40,5000,20,50,High,4000,"Washer;Filleting Machine;Freezer;Packaging","FSSAI;MPEDA;Factory License"
Prawn Hatchery,Aquaculture,Prawn,20,50,0,15,40,High,5000,"Hatchery Tanks;Aeration;Filtration System","Aquaculture License;State Fisheries"
Silk Reeling Unit,Textile,Silk,10,25,100,12,20,Medium,2000,"Reeling Machine;Twisting;Winding","MSME Registration;Silk Board"
Rubber Processing Unit,Processing,Rubber,10,25,2000,10,30,Medium,3000,"Sheeting Machine;Dryer;Grading","Factory License;Rubber Board"
Moringa Processing,Superfood,Moringa,3,8,500,4,10,Low,1000,"Drying Unit;Grinder;Packaging","FSSAI;Organic Certification"
Spirulina Farm,Specialty,Spirulina,5,15,50,4,10,Medium,1500,"Cultivation Tanks;Harvesting Net;Dryer","FSSAI;MSME Registration"
